,Digital content co-creation,,,"It involves designing and implementing specific online co-creation spaces, applying technical skills to actively participate in collaborative creation and reflecting on the features of digital technology to achieve innovative outcomes within a collaborative environment.","1. Work with others to design and create engaging and meaningful interactions for users or audiences in online or virtual spaces, curating website content, encompassing textual elements, imagery and layout design.
----

2. Create ethically conscious content with others, both synchronously (in real-time) and asynchronously (at different times)
---
 
3. Use collaborative tools and version control systems to co-create digital artworks with distributed collaborators across a network
---

4. Apply technical skills and conceptual knowledge to actively participate in digital content co-creation, by designing and implementing specific online co-creation spaces with associated protocols and standard operating procedures (SOPs).
---

5. Use digital technology independently by reflecting on its features within a co-creation space to achieve innovative outcomes.
","1. Understands that working collaboratively in designing and curating engaging online interactions involves incorporating text, imagery, and layout to enhance the user or audience experience.
---

2. Knows about the processes and considerations involved in creating ethically conscious content collaboratively, both synchronously and asynchronously.
---

3. Aware of the methods and benefits of using collaborative tools and version control systems to co-create digital artworks with collaborators across different locations.
---
 
4. Understands that applying technical skills and conceptual knowledge actively in digital content co-creation involves designing and implementing online spaces with clear protocols and standard operating procedures.
---

5.Knows about the independent use of digital technology to reflect on its features within a co-creation space, aiming to achieve innovative outcomes.","1. Knows how to work with others to design and create engaging and meaningful interactions for users or audiences in online or virtual spaces. 
2. Able to curate website content, including textual elements, imagery, and layout design, to enhance user experience and engagement.
---

3. Knows how to create ethically conscious content with others, both synchronously and asynchronously. Able to collaborate 4. Knows how to use collaborative tools and version control systems to co-create digital artworks with distributed collaborators across a network.
---

5. Able to collaborate seamlessly with remote team members to produce cohesive and innovative digital artwork.
---

6. Knows how to apply technical skills and conceptual knowledge to actively participate in digital content co-creation. 
7. Able to design and implement specific online co-creation spaces with associated protocols and standard operating procedures (SOPs) to facilitate efficient collaboration.
---

8. Knows how to use digital technology independently within a co-creation space to achieve innovative outcomes. 
9. Able to reflect on the features of digital tools and technologies to leverage them effectively in the co-creation process.




","Oversee the design and build of online environments that facilitate collaborative creativity among diverse stakeholders. This includes selecting appropriate platforms and tools to meet specific needs.

Promotes continuous improvement and updating of the collaborative environment.

Manages and oversees collaborative environments, particularly in scenarios where the dynamics of group interaction and technology integration can be complex and unpredictable.

Promotes analysis and evaluation of how digital technologies can be better used in collaborative environments to foster innovation. 

Independently make informed decisions and solve problems that arise during collaborative processes. Adapt strategies and tools in response to unexpected challenges.

Promote analysis and evaluation of the effectiveness of collaboration.","
A digital content co-creation consultant designs and manages online collaborative spaces, applying technical skills and innovative methods. They curate engaging content, use collaborative tools, and create ethically conscious materials both synchronously and asynchronously. With expertise in digital technologies, they implement protocols for efficient co-creation and reflect on technology features to drive innovation. They lead and mentor teams, ensuring effective collaboration and continuous improvement in digital content creation."
,,,,,,,,,
,Value Creating Agency Cluster,,,,,,,,
,Competence,Course title,EQF,Description,Learning Outcome, ,Skills,Responsibility and autonomy,Description of professional profile of an experience future consultant operating in this realm
,Financial and Economic Literacy,"It’s Not About the Tree, but the Forest",5,"Be the change you want to see: to change the system, you must know how it works. Although some creatives have had a tendency to hide from all that is labeled economic, the economy continues to shape the daily life of societies and can create certain limitations; for example, how much time we can spend on the things we truly love. Like it or not, we are all a part of an economic system. In order to question and change it, we must learn what is the economic system we participate in and how it functions. What is the specific role of the Creative and Cultural Industries within these economic systems and cultures? How are they a binding element and driven by innovation? What is an idea worth solving in your local societal context? How can your practice contribute to effecting society for the common good? What are some purposeful methods for creatives to solve local societal problems from an economic perspective, taking the entanglements between self-world-environment-family into account? 

It’s Not About the Tree, but the Forest: Financial and Economic Literacy immerses learners in the intricacies of global economic systems and diverse business models in the Creative and Cultural Industries. Through critical analysis and practical exercises, participants gain insight into local societal challenges and develop the skills to apply business models for positive change. The course empowers learners to navigate the interconnected realms of economics, business, and societal well-being with purpose and efficacy through the lens of the Creative and Cultural Industries.","1. Learner knows different global economic systems and how they impact societies.
2. Learner knows different existing business models (direct, indirect, platform, etc) and business models for the common good (ECG).
3. Learner knows how to find an idea worth solving from collective obstacles existing in their societies and can apply a business model to it.
4. Learner understands the entanglements between themselves and the economy they participate in, and know how to apply a business model canvas to their personal/professional life.","1. Knows global economic systems, welfare systems and their interconnectedness.
2. Understands the difference between economics and business, a capital market and a money market, and understands different tax systems and their utilization.
3. Knows existing business models (direct, indirect, platform, etc) and business models for the common good.
4. Knows how to apply a business model towards solving societal challenges as wells as how to apply a business model canvas to a one's personal and professional life. 
5. Understand costs, revenue, time resources and how to make ends meet.","1. Analyze and compare economic and financial systems and values within them
2. Analyze and compare business models
3. See opportunities in applying a business model to societal challenges (f.ex. education, healthcare, transportation, food, etc)
4. Apply a business model to their personal and professional life taking into account different dimensions (time, money, well-being, etc)","Acts with awareness and assume responsibility towards the economic system and society they participate in.

Articulates interest in alignments of self and the economic system they participate in relation to specific contexts and life situations.
 
Acts with responsibility for the common good in their economic context.

Embraces the role and the responsibility of the creative industries within economic systems.","As an experienced future consultant, they have a deep understanding of the interconnectedness of the world in terms of business, finance and the well-being of people. They embody the fact that all their economic and personal actions affect the world either in a helpful or unhelpful way."
,Planning and management,,,"Explore how to organise your personal and professional life in a way that will be meaningful for your long-term goals. Gain insights into planning, reflection, and mindfulness, ensuring your work stays aligned with your aspirations. Learn to prioritise effectively, drawing from proven methods like Objective Key Results.","1. Learner demonstrates a basic understanding of utilizing various tools for project planning, including both traditional and innovative methods and is able to apply them effectively in real-world scenarios. Learner engages in reflective practices to assess progress and adjust strategies for improved planning and management.

2. Learner recognises the significance of aligning tasks with personal and professional objectives for effective decision-making. They use this understanding to decide which tasks are most important, how to allocate resources and ensure that project goals are met effectively. They prioritize tasks effectively, utilizing methods such as Objective Key Results to align with personal and professional goals and make informed decisions about task management.

3. Learner gains insight into the finite nature of time and its implications for personal and professional development, recognizing the importance of prioritizing meaningful activities in alignment with their values and goals. Learner applies strategies from '4000 Weeks' to optimize time management, embracing imperfection and finding fulfillment amidst life's time constraints.

4. Learner distinguishes between important and urgent tasks, and is able to manage stressful situations in a mindful and more relaxed way by taking a step back.","1. Understands various project planning tools, both traditional and innovative.
2. Understands the importance of aligning tasks with personal and professional objectives.
3. Knows decision-making principles and resource allocation strategies.
4. Understands the distinction between important and urgent tasks and has familiarity with techniques to step back, mindfulness, etc.
5. Aware of strategies for optimizing time management.","1. Able to use project planning tools in practical situations and prioritize tasks based on alignment with personal and professional objectives.
2. Able to reflect during project, assess progress, adapt strategiesa and allocate resources effectively to ensure project goals are met.
3. Knows how to differentiate between important and urgent tasks, and maintain composure and prioritize tasks effectively in high-stress environments.
4. Able to apply strategies to optimize time management.","Takes ownership of one's learning by actively engaging in reflective practices.

Demonstrates autonomy in applying acquired knowledge and skills to improve planning and management processes.

Takes responsibility for decision-making by aligning tasks with objectives.

Takes responsibility for task prioritization and stress management, and manages time effectively in alignment with personal values and goals.","At EQF Level 7, an experienced consultant is adept in strategic planning and management across various fields. They offer valuable insights in project planning, resource allocation, and decision-making, drawing from their deep expertise. With a focus on continuous learning, they stay updated on innovative approaches to optimize productivity and drive organizational success. Trusted advisors, they leverage their skills to guide clients towards efficient project execution and long-term growth."
,Valuing ideas,,5,"This course introduces basic qualitative research methods in social sciences and teaches how to identify real-life problems in local contexts using human-centered design. Students will learn to collect, develop, and assess ideas effectively. Emphasis is placed on testing solutions with different target groups while ensuring ethical research practices. Through self-reflection, students will identify their unique strengths and offerings, aligning them with societal or environmental needs, and learn to comprehensively evaluate their ideas using the lean canvas method, ensuring they address both user needs and sustainable income generation opportunities.","1. Learner has basic understanding of empirical social science research methods (qualitative methods).

2. Learner uses methods from human center design to identify real-life problems (in their societal context).

3. Learner knows how to conduct idea collection, idea development and assessment based on the problem identified.

4. Learner looks at the solution from different target groups perspectives and conducts empirical research methods to test it.

5.  Learner knows how to use the lean canvas method to address user needs and sustainable income generation opportunities.","1. Understands the basics of qualitative research methods used in empirical social sciences.
2. Knows how to use methods to identify and analyze real-life problems within their societal context.
3. Knows the processes of idea collection, development, and assessment based on identified problems.","1. Able to use qualitative research methods effectively.
2. Skill in using human-centered design techniques to identify and frame societal problems.
3. Competence in the entire cycle of idea management, including collecting, developing, and assessing ideas.
4. Ability to use the lean canvas method.","Ensures that empirical research is conducted ethically and responsibly, while independently carrying out qualitative research.

Takes responsibility for accurately identifying real-life problems within their societal contexts and testing solutions with diverse target groups.

Manages the process of idea collection, development, and assessment independently, ensuring that all aspects are handled responsibly.","An experienced future consultant at EQF Level 7 excels in applying advanced qualitative research methods and human-centered design to identify and address complex societal issues. They manage the entire process of idea development and assessment, using the lean canvas method to craft solutions that effectively meet user needs and foster sustainable income, aligning their expertise with societal and environmental priorities to drive responsible innovation."
,Opportunity management,,,"This course will provide you with an understanding of how to find and evaluate the opportunities using the five principles of effectuation. You will get familiarized with tools on how to see the broader picture and will get empowered to the entrepreneurial spirit in creative projects. You will get familiarized with how the Creative and Cultural Industries function, and how you can be a part of the game. You will have the opportunity to reflect on how your practice can contribute and benefit from the CCI, learn how to seek and evaluate opportunities that fit your vision, and plan meaningful partnerships that support your long-term goals.","1. Learner evaluates and manages opportunities within the creative field, considering both financial sustainability and artistic integrity, and applies principles of effectuation.

2. Learner recognizes and makes informed decisions about opportunities arising from collaborations across different CCSI sectors, assessing their potential impact on business competitiveness through the lens of effectuation.

3. Learner identifies opportunities for collaboration, partnership, or business ventures aligned with their creative and professional goals, employing principles of effectuation.

4. Learner identifies, assesses, and strategically decides on various funding opportunities available, analyzing their suitability and relevance to their goals or projects using principles of effectuation.","1. Understanding of financial sustainability and artistic integrity in the context of the creative field.
2. Knows different sectors within the CCSI and their potential for collaboration opportunities.
3. Aware of various funding sources and their suitability for creative projects and ventures.","1. Evaluating and managing opportunities within the creative field, considering both financial sustainability and artistic integrity.
2. Recognizing and making informed decisions about collaborative opportunities across different CCI sectors.
3. Assessing and strategically deciding on funding opportunities relevant to creative and professional goals.","Takes initiative to identify opportunities for collaboration, partnership, or business ventures aligned with personal creative and professional objectives.

Applies principles of effectuation to navigate and capitalize on opportunities independently.

Demonstrates accountability in assessing and selecting funding options that best support creative projects and ventures.","A consultant in this field excels in balancing financial viability with artistic excellence within the CCSI, applying advanced principles of effectuation to evaluate and optimize opportunities. They specialize in identifying strategic collaborations across diverse sectors of the CCSI, and make strategic funding decisions."
,Working with others,I Am Not An Island,,"It involves effective collaboration in co-creation and learning environments, recognising and leveraging internal and external expertise and valuing diverse viewpoints to promote creativity, inclusivity and innovation.","1. Learner effectively collaborates with others in co-creation activities and challenge-based learning environments.
2. Learner recognises and uses both internal and external expertise in collaborative endeavours by assessing the complementary skills within the organisation by identifying any gaps that may require external professional input.
3. Learner identifies and values diverse viewpoints in collaborative settings to promote creativity and innovation, foster inclusivity and improve decision-making processes.","
1. Understanding of co-creation and challenge-based learning environments. 
2. Awareness of internal and external expertise, and the ability to assess complementary skills within an organization. 
3. Knowledge of the importance of diverse viewpoints in fostering creativity, inclusivity, and innovation.","1. Effective collaboration in co-creation activities and learning environments.
2. Ability to assess and utilize both internal and external expertise in collaborative projects.
3. Skill in identifying, valuing, and leveraging diverse viewpoints to enhance creativity, inclusivity, and decision-making.","1. Collaborating with others in co-creation and challenge-based learning environments.
2. Identifying and addressing skill gaps by leveraging internal and external expertise.
3. Promoting creativity, inclusivity, and innovation by valuing and incorporating diverse viewpoints.","They demonstrate advanced skills in promoting creativity, inclusivity, and innovation, often leading complex projects and making strategic decisions independently. The individual takes full responsibility for managing and transforming collaborative processes, driving significant improvements in organizational outcomes."
,,,,,,,,,
,Regenerative Agency Cluster (GUIDELINES DOC),,,,,,,,
,Competence (short title),Course title,EQF,Description,Learning Outcome,Knowledge,Skills,Responsibility and autonomy,Description of professional profile of an experience future consultant operating in this realm
,"Self-awareness & empathy 
(self)",,,"It involves understanding one's place in a more-than-human world and the capacity to make informed decisions that are aligned with the need for economic, cultural, and ecological regeneration","1. Learner discovers ecological complexity, recognizes the interdependence of different living beings, and becomes aware of her/his own agency
2. Learner shows understanding between the terms human, non-human, and more-than-human
3. Learner is aware of human, techno- and eco-centric design approaches
4. Learner shows understanding of diversity as possible source of strength
5. Learner can identify choices in relation to ethos of care and solidarity"," - understand self from a perspective of entanglement with other living beings
 - show awareness of ecological interdependencies (as source of strength rather than constraint on human autonomy)
 - know the differences between the terms human, non-human, more-than-human
 - show awareness of differences between human / techno / eco-centric approaches
- show awareness of historical development of the category of the ""human"" (expansion of ""humanity"" as consequence of conflict and struggles for freedom self-determination) and critiques of the category of the ""human"" (non-western, indigenous)"," - shows ability to articulate sustainable and regenerative values (communication skills)
- shows ability to define and identify sustainable and regenerative choices (design skills)
 - shows empathy to more-than-human worlds  (ethical skills)
 - can differentiate between a variety of more-than-human perspectives / approaches (analytical skills)
 - can identify impact of decisions / actions on more-than-human contexts (impact assessment skills)"," - Learner develops and articulates interest in alignments of self / more-than-human world in relation to specific contexts and life situations
 - Learner acts with awareness and assumes responsibility for their own behaviour by aligning action with values, joy of discovery, curiosity, self-irony","transformation design (BA/MA) in related degree programs (product design, media art and design, fine art, cultural management)"
,"Ethical and sustainable thinking 
(world)",,,It involves understanding that concepts of ethics and justice have an ecological dimension that includes thinking about multispecies relations and the complexity of their (social) interactions. Understanding how regenerative and sustainable actions have the power to affect future generations (human and more-than-human) and being familiar with frameworks that support regenerative/ecological thinking and acting.,"1. Learner shows awareness that concepts of ethics / justice have an ecological dimension (example: non-regenerative resource-uses create ecological distribution conflicts)
2. Learner shows understanding of the conditions of ""inhabitability"" (Morizot) and ""viability"" (Beer) of her/his life situation
3. Learner shows awareness of contingency (historical dimension) of own life situation (example: inherited conditions / structures as well as needs of future generations)
4. Learner acknowledges the more-than-human dimensions of dignity (beyond a language of animal / natural rights)
5. Learner understands key learning frameworks for regenerative sustainability (example: GreenComp, four-pillar model of sustainability)"," - understands the ecological dimension of concepts of ethics and justice
 - understands the concepts of multispecies relations and ecological entanglements
 - is capable of imagining the impact of decisions on future generations
 - is aware of different (competing / complementary) terms to approach a more-than-human space of ethics (earth, global, planetary)
 "," - Learner can situate her/himself and her/his decisions in more-than-human terms (ex: supply chains) 
- Learner demonstrates familiarity with more-than-human design methods
- Learner is familiar with (exaptative) uses of technology to comprehend ecological complexity", - Learner acts with awareness and assumes responsibility towards the world,"transformation design (BA/MA) in related degree programs (product design, media art and design, fine art, cultural management)"
,"Problem framing
(frame)",Exploring Ecologies of Technology to Design Collective Agency and Intelligence in a More-than-Human World,5,"It involves the ability to reframe relationships between self and world in regenerative terms and includes awareness of a variety of relevant approaches and methods, and terminologies","1. Learner is familiar with regeneration frameworks (example: ecologies of technology, regenerative sustainability)
2. Learner is familiar with ""design-for-regeneration"" approaches (ex more-than-human design, environmental design) and multiple concepts of value
3. Learner is familiar with approaches to assess short / mid-term / long-term (cultural, economic, environmental, social) regenerative impacts"," - Learner is able to describe sustainability in cultural, economic, environmental and social terms
- Learner is able to differentiate sustainability (sustain) and regeneration (give-more-than-take)
- Learner identifies how certain actions affect the ecological interdependencies considering different timescales
- Learner can identify transversal dimensions of impact
- Learner gains awareness of processes that deal with impact
",- Learner knows how to use tools to generate data for decision-making,Learner can imagine short/ mid/ long-term impact and design for mitigations and resilience considering impact dimensions,"transformation design (BA/MA) in related degree programs (product design, media art and design, fine art, cultural management)"
,"Exploratory thinking
(explore)

Triple-Loop-Learning: imagine possible relationships between 1 / 2 / 3",,,"It involves having an exploratory interest in creative, structural, social and technical ways of acting democratically and holistic. It involves awareness of precautionary principle (act now to avoid future negative impact), a positive attitude toward fact-based analyses (interest in how evidence / factuality / trust is determined), awareness that fairness / inclusion requires knowledge of all stakes / perspectives involved / affected; awareness of differences between potential (thinkable) / possible (doable) / likely (realistic) futures","1. Learner shows awareness of precautionary principle
2. Learner shows positive attitude toward fact-based analyses
3. Learner is aware that fairness and inclusion requires knowledge of all affective perspectives involved
4. Learner is aware of differences between thinkable, doable and realistic futures
5. Learner is able to identify articulate different futures based on different sets of value"," - Learner knows the precautionary principle (act now to avoid future negative impact)
 -Learners knows and has interest in how to conduct a fact-based analyses (interest in how evidence / factuality / trust is determined) 
 - Learner knows that fairness / inclusion requires knowledge of all stakes / perspectives involved / affected
 - Learner can differenciate between potential (thinkable) / possible (doable) / likely (realistic) future"," - Learner can analyse / assess ideas / actions / scenarios and determine their value alignment
 - Learner can determine relevance and integrate knowledge from different domains
 - Learner articulates different futures based on different sets of value","acknowledge value of scientific evidence (even without expert knowledge of the domain in question), acknowlegde that (possible) consequences affect scenario preference","transformation design (BA/MA) in related degree programs (product design, media art and design, fine art, cultural management)"
,"Actionable futures
(engage)

Triple-Loop-Learning: enact relationships between 1 / 2 / 3",,,"engage: it involves designing for impact in a competence ecosystem (sites of learning and sites of engagement)
it implies the knowledge of how diversity can become a strength, knowledge that human action may have unpredictable / uncertain consequences, and awareness of relevant laws / policies affect spaces of engagement (and make possible specific actions)
","1. Learner can design inclusive and transparent processes
2. Learner has the ability to act promptly in the face of uncertainty
3. Learner can synthesize relevant knowledges to inform concrete actions
4. Learner shows understanding of how human actions may have unpredictable consequences
5. Learner is aware of relevant laws and policies that affect spaces of engagement
4. Learner is familiar with organizational processes to turn ""matters of concern"" into ""communities of care / concern"""," - Learner knows how diversity can become a strength
 - Learner knows that human action may have unpredictable / uncertain consequences
 - Learner is aware of relevant laws / policies and that they affect spaces of engagement (and make possible specific actions)"," - Learner can identify relevant actors / stakeholders, can take into account local context
- Learner can design inclusive / transparent processes 
 - Learner  can act promptly in the face of uncertainty
 - Learner can synthesize relevant knowledges to inform concrete action"," - Learner shows trust in processes of change
 - Learner shows willingness to engage with others to challenge the status quo and address grievances
 -  Learner shows willingness to discontinue / demand accountability for unsustainable practices  
 - Learner shown willingness to reassess action strategies
 - Learner is willing to stay with the trouble","transformation design (BA/MA) in related degree programs (product design, media art and design, fine art, cultural management)"
